customer_id,lookalike_1,score_1,lookalike_2,score_2,lookalike_3,score_3
C0001,C0069,0.9143,C0125,0.7773,C0183,0.6674
C0002,C0031,0.8653,C0077,0.8346,C0121,0.8124
C0003,C0144,0.836,C0091,0.686,C0148,0.6427
C0004,C0075,0.9471,C0065,0.8552,C0041,0.8381
C0005,C0130,0.8907,C0014,0.8416,C0150,0.8245
C0006,C0196,0.8054,C0079,0.7779,C0200,0.7739
C0007,C0085,0.844,C0026,0.8061,C0166,0.7961
C0008,C0109,0.7937,C0175,0.742,C0162,0.7408
C0009,C0097,0.9752,C0058,0.9738,C0083,0.9501
C0010,C0142,0.8874,C0030,0.867,C0062,0.863
C0011,C0153,0.7959,C0013,0.7436,C0099,0.7423
C0012,C0104,0.878,C0163,0.8718,C0113,0.8696
C0013,C0046,0.9574,C0099,0.931,C0188,0.883
C0014,C0033,0.9878,C0060,0.9845,C0150,0.9653
C0015,C0146,0.8795,C0071,0.8714,C0077,0.8642
C0016,C0044,0.7258,C0191,0.7053,C0011,0.7026
C0017,C0075,0.8709,C0065,0.8426,C0122,0.8412
C0018,C0114,0.8535,C0087,0.8191,C0045,0.7162
C0019,C0119,0.8425,C0047,0.8239,C0121,0.8209
C0020,C0080,0.9421,C0110,0.897,C0078,0.8883
